학년,파일명,행_수,열_수,열_이름_요약,처리_요약
3학년,01_학생시험점수.csv,1000,8,성별 | 인종그룹 | 부모최종학력 | 급식유형 | 시험준비여부 | 수학점수 …,결측: 핵심 점수·성별 없는 행 삭제. 점수는 정수로 통일.
3학년,02_포르투갈학생성적.csv,395,12,성별 | 나이 | 어머니학력코드 | 아버지학력코드 | 공부시간_범주 | 과락과목수 …,3학년용: 범주(성별·학력코드)·수치 혼합. 결측은 핵심 열 기준 삭제.
3학년,03_수면건강.csv,374,13,응답자ID | 성별 | 나이 | 직업 | 수면시간_시간 | 수면질_점수 …,결측: 분석에 자주 쓰는 수치·성별 등 비어 있으면 행 삭제.
3학년,04_인도대기질.csv,7678,16,도시 | 날짜 | PM25 | PM10 | NO | NO2 …,결측: 공기질 지표 중 하나 이상 있는 행만 유지. 결측 비율 82% 초과 열 제거.
3학년,05_세계행복.csv,156,9,행복순위 | 국가명 | 행복점수 | 1인당GDP | 사회적지지 | 건강기대수명 …,결측: 국가명·행복점수 없는 행 삭제.
3학년,06_슈퍼스토어.csv,5000,8,고객세그먼트 | 제품대분류 | 제품소분류 | 지역 | 매출액 | 수량 …,ID·고객명 등 식별자 제거. 매출·수량·이익은 숫자형.
3학년,07_넷플릭스.csv,3500,8,유형 | 제목 | 감독 | 국가 | 공개연도 | 관람등급 …,2학년: 제목·장르 생략. 3학년: 장르태그·제목 포함(텍스트 열).
3학년,08_유튜브트렌드.csv,3000,13,동영상ID | 트렌드날짜 | 제목 | 채널명 | 카테고리ID | 게시시각 …,긴 설명·태그 열은 원본 정리 단계에서 제거됨. 수치 열 정수화.
3학년,09_키몸무게체형.csv,500,4,성별 | 키_cm | 몸무게_kg | 체형지수등급,결측 행 삭제. 등급은 데이터셋 정의에 따른 범주.
3학년,10_심장질환.csv,900,14,나이 | 성별 | 흉통유형코드 | 안정시혈압 | 콜레스테롤 | 공복혈당이상 …,"의료 코드 데이터셋. 2학년: 핵심 변수만·성별·질환 한글 라벨. 3학년: 대부분 UCI 수치코드, 성별·질환만 한글."
3학년,11_우버운행.csv,354,4,배차기지코드 | 날짜 | 활성차량수 | 운행건수,시계열·막대 그래프에 적합. 결측 행 삭제.
3학년,12_타이타닉.csv,714,8,객실등급 | 성별 | 나이 | 형제배우자수 | 부모자녀수 | 운임 …,이름·티켓·객실번호 제거. 나이 결측 행 삭제. 3학년: 승선항 결측은 '미상'.
3학년,13_붓꽃.csv,150,6,표본번호 | 꽃받침길이_cm | 꽃받침너비_cm | 꽃잎길이_cm | 꽃잎너비_cm | 품종,품종명에서 접두어 정리. 산점도·박스플롯에 적합.
3학년,14_펭귄.csv,333,7,펭귄종 | 서식섬 | 부리길이_mm | 부리깊이_mm | 날개길이_mm | 체중_g …,결측(원본 .) 행 삭제. 두 집단·산포 분석에 적합.
3학년,15_식당팁.csv,244,7,총액_달러 | 팁_달러 | 성별 | 흡연여부 | 요일 | 시간대 …,범주형+연속형 혼합. 그룹 비교·상관에 적합.
3학년,16_항공승객.csv,144,4,연도 | 월_번호 | 월_영문 | 승객수_천명,시계열 꺾은선·계절성 설명에 적합.
3학년,17_다이아몬드.csv,10000,10,캐럿 | 컷등급 | 색상등급 | 선명도등급 | 깊이_퍼센트 | 테이블_퍼센트 …,2학년: 가격·4C 요약. 3학년: 치수·깊이 포함.
3학년,18_운동맥박.csv,90,5,참가자ID | 식이구분 | 맥박 | 측정시점 | 운동종류,반복측정 구조. 집단 비교·시간에 따른 변화 설명 가능.
3학년,19_자동차연비.csv,392,9,연비_mpg | 기통수 | 배기량 | 마력 | 중량_lb | 가속도 …,마력 결측·비숫자 행 삭제. 제조지역 코드→한글. 차량명은 40자까지.
3학년,20_미국주교통사고.csv,51,8,주코드 | 총사고율 | 과속비율 | 음주비율 | 비방해운전비율 | 무전과비율 …,Seaborn car_crashes. 주별 10억주행마일당 사고율·항목별 비율·보험료 등(교육용). 2학년은 5열 요약.
